x,y
-5.0,-2.0316944863338207
-4.949748743718593,-2.416734942788739
-4.899497487437186,-2.397654743289514
-4.849246231155779,-2.2620164328232444
-4.798994974874372,-2.473466003335945
-4.748743718592965,-2.5955596826413365
-4.698492462311558,-2.3545362788775983
-4.648241206030151,-2.5121650799717243
-4.597989949748744,-2.762736456118863
-4.547738693467337,-2.3942909953952367
-4.49748743718593,-2.576033350118198
-4.447236180904523,-2.801613397198234
-4.396984924623116,-2.4009687538097224
-4.346733668341709,-2.326166856516276
-4.296482412060302,-2.404825391038219
-4.2462311557788945,-2.366776859951271
-4.1959798994974875,-2.4647669361137363
-4.1457286432160805,-2.3707311142402645
-4.0954773869346734,-2.3564914790912406
-4.045226130653266,-2.436375523787897
-3.9949748743718594,-2.141166747155225
-3.9447236180904524,-2.018879869911988
-3.8944723618090453,-2.098632691510293
-3.8442211055276383,-1.77274403417834
-3.7939698492462313,-1.738440545529278
-3.7437185929648242,-1.8039958376343266
-3.693467336683417,-1.6728173625421237
-3.64321608040201,-1.4139432376214673
-3.592964824120603,-1.3322989412574204
-3.542713567839196,-1.0477979909296582
-3.492462311557789,-0.8651748276798235
-3.442211055276382,-1.1501717377212155
-3.391959798994975,-0.8883856058643725
-3.341708542713568,-0.8927097387350561
-3.291457286432161,-0.7346680329709673
-3.241206030150754,-0.7809288857274987
-3.190954773869347,-0.6526157380463748
-3.14070351758794,-0.4621984108482669
-3.090452261306533,-0.45499942250650044
-3.040201005025126,-0.5098159335311636
-2.9899497487437183,-0.09764420640425234
-2.9396984924623113,-0.07987062742931944
-2.8894472361809043,0.05036907335439672
-2.8391959798994972,-0.357725578585168
-2.78894472361809,-0.1285747729277411
-2.738693467336683,0.19783808909341102
-2.688442211055276,0.3015752412994093
-2.638190954773869,0.09911766443671274
-2.587939698492462,0.09284828379374487
-2.537688442211055,0.36065858646028237
-2.487437185929648,0.3860795265246435
-2.437185929648241,0.1226489416906192
-2.386934673366834,0.12376928389676496
-2.336683417085427,0.13722121104505874
-2.28643216080402,0.20190338017996232
-2.236180904522613,0.06232535951240648
-2.185929648241206,-0.24543212094839356
-2.135678391959799,0.1239303557380523
-2.0854271356783918,-0.3070838146577887
-2.0351758793969847,0.06775611808190349
-1.9849246231155777,0.08630286897932093
-1.9346733668341707,-0.11590434235563085
-1.8844221105527637,-0.6565934010836226
-1.8341708542713566,-0.5063254850622915
-1.7839195979899496,-0.6329791989754207
-1.7336683417085426,-0.438333208828521
-1.6834170854271355,-0.5855379265919219
-1.6331658291457285,-0.3905052546040683
-1.5829145728643215,-0.9442088579323066
-1.5326633165829144,-0.9403299370562017
-1.4824120603015074,-0.7260053235033628
-1.4321608040201004,-1.0949142445004005
-1.3819095477386933,-0.9345905234370717
-1.3316582914572863,-1.0562149389906388
-1.2814070351758793,-1.2069805959090454
-1.2311557788944723,-1.2812484297781295
-1.1809045226130652,-1.2707253432733592
-1.1306532663316582,-1.0888145530343338
-1.0804020100502512,-1.126006331904383
-1.0301507537688441,-1.4957311829827
-0.9798994974874367,-1.212576409450542
-0.9296482412060296,-1.336529512960741
-0.8793969849246226,-1.2222358583976491
-0.8291457286432156,-1.094331605458841
-0.7788944723618085,-0.9750452753384515
-0.7286432160804015,-1.313103476622636
-0.6783919597989945,-1.554803440240354
-0.6281407035175874,-1.2289873662133972
-0.5778894472361804,-1.3094841034283449
-0.5276381909547734,-1.1301432882301632
-0.47738693467336635,-0.8744218272889835
-0.4271356783919593,-0.8658291312111226
-0.3768844221105523,-0.8402719786531749
-0.32663316582914526,-0.7486053192865453
-0.2763819095477382,-0.8256281164832561
-0.2261306532663312,-0.7928736809119658
-0.17587939698492416,-0.4700822971155577
-0.12562814070351713,-0.32904750034951746
-0.0753768844221101,-0.0024922175377392053
-0.02512562814070307,-0.20605074887818764
0.02512562814070396,0.1754613655654772
0.07537688442211099,-0.21713467650206075
0.12562814070351802,0.12149876135302062
0.17587939698492505,0.28931022195401923
0.22613065326633208,0.1311451898923743
0.2763819095477391,0.6128570255400916
0.32663316582914614,0.6300384897349689
0.3768844221105532,0.5059087401584595
0.4271356783919602,0.6955371103491012
0.47738693467336724,0.891239487209679
0.5276381909547743,0.9193779163933535
0.5778894472361813,1.046575605125792
0.6281407035175883,1.1652559428297247
0.6783919597989954,0.9549669580226825
0.7286432160804024,1.2340090185182977
0.7788944723618094,1.0430469324649987
0.8291457286432165,1.2938493811203207
